"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PE.O.16.0.18.0....12.929232",1.69620062857143,1.38449716964286,4.1775202667381,0.0007081312021965,0.889969163651476,-4.08839227430152
"C28.H60.Cl.N9.O3",2.16590549285714,1.89218322678572,3.60875514424377,0.00234819060399027,0.889969163651476,-4.17105628696793
"C39.H83.Cl.N18.O2",0.962458357142857,-1.00931028571429,3.40935385028464,0.00357931391096879,0.889969163651476,-4.20247123128688
"C37.H77.N19...18.789711",-1.17445483571429,-2.548783725,-3.33660745229353,0.00417349407244529,0.889969163651476,-4.21422437805793
"C57.H4.O4.S2",-9.37793667357143,0.245185952142858,-3.30709137922283,0.0044415996149369,0.889969163651476,-4.21903571841584
"PS.P.20.0.20.1.11Z..",1.49163552857143,0.0777956785714287,3.23336787573761,0.0051880396859058,0.889969163651476,-4.23115733505387
"C30.H57.Cl.N14.O",0.93214425,0.331968973214285,3.20665599832579,0.00548803512212456,0.889969163651476,-4.23558505650092
"X818.6329.20.815252",-0.826733407142857,-0.9586286,-3.17114215127106,0.00591352601776458,0.889969163651476,-4.24150035553208
"C43.H70.N4.O2",0.888908757142857,1.86145978571429,3.13803654127694,0.00633935270866008,0.889969163651476,-4.24704323182587
"C41.H4.N4.O5.S4",-0.881071614285714,0.865973153571428,-3.12918960138611,0.00645816794882798,0.889969163651476,-4.24852907206918
"X759.9045.19.576588",-0.978599785714286,0.479299685714285,-2.88195243993355,0.0108212010786188,0.889969163651476,-4.29076964767059
"PS.O.20.0.17.0.",1.39643679285714,1.36601225357143,2.85970222087626,0.0113321483293215,0.889969163651476,-4.294632252116
"C42.H74.O6",0.734501542857143,1.21018723928571,2.84483903920338,0.0116864328099944,0.889969163651476,-4.29721740330269
"Triuvaretin",0.88996815,2.27071164285714,2.833880548829,0.0119545022240817,0.889969163651476,-4.29912587221825
"C44.H58.N2.O3",-0.965984115714286,-1.45725292714286,-2.81704387283322,0.0123780175103902,0.889969163651476,-4.30206202221
"C18.H5.Cl.N2.O.S5",0.981237964285714,-1.12744057321428,2.816019974084,0.0124042366473048,0.889969163651476,-4.30224073249792
"PS.O.20.0.20.5.5Z.8Z.11Z.14Z.17Z.....13.279888",0.916700521428571,0.614807617857143,2.76962140051479,0.0136504602234625,0.889969163651476,-4.31035671013834
"beta.hydroarchaetidylethanolamine...17.555819",-0.68914845,-0.94076385,-2.74642261280374,0.0143181076322512,0.889969163651476,-4.31442693606934
"PG.20.0.20.0.",0.689074578571429,1.28835591607143,2.61169280173498,0.0188625364628214,0.889969163651476,-4.33820338744453
"C40.H79.N17.O3",0.8454748,0.491377567857143,2.55769799558033,0.0210472037432906,0.889969163651476,-4.3477853352114
"X799.6245.16.609383",0.694544278571428,-0.1085184125,2.54256135615777,0.021701706223262,0.889969163651476,-4.35047560203554
"Netilmicin",0.702093121428571,1.8242640625,2.50901530935704,0.0232219446443615,0.889969163651476,-4.35644309934576
"Fexofenadine",-1.00227720578571,-1.70334913453572,-2.50390568354146,0.0234622031755192,0.889969163651476,-4.35735261555647
"PA.O.18.0.19.0.",1.08513775,2.0203625375,2.49859803403663,0.0237142712841377,0.889969163651476,-4.35829752160383
"PS.P.18.0.22.0.",-0.809827335714286,0.113096516071429,-2.46453327575832,0.0253942432939831,0.889969163651476,-4.36436498349744
"X.206...22.135359",-1.04056092857143,-0.663462928571429,-2.43087046195174,0.0271646450590318,0.889969163651476,-4.37036475936483
"PS.19.0.14.1.9Z..",1.07475707142857,-0.263070342857143,2.41460047297113,0.0280615270742986,0.889969163651476,-4.37326547252
"X7..6.6.Dimethyl.3..4.iodobenzenesulfonylamino.bicyclo.3.1.1.hept.2.yl..5.heptenoic.acid",-1.551898815,-1.15812048446429,-2.41398102977342,0.0280962198225341,0.889969163651476,-4.37337591809053
"Garcinol",0.811086942857143,0.526097419642857,2.40449493723353,0.028632578704893,0.889969163651476,-4.37506731971533
"Fortimicin.A",0.577413457857143,0.862014802321428,2.40379775409534,0.0286723768909719,0.889969163651476,-4.37519163280878
"C11.H31.N9.O2",-0.619366742857143,0.462652828571428,-2.37987141955305,0.0300701961206174,0.889969163651476,-4.37945797827758
"C40.H83.Cl2.N7.O.S",0.945046135714286,1.942977275,2.36384180599043,0.0310422640202623,0.889969163651476,-4.38231614779741
"DG.20.5.5Z.8Z.11Z.14Z.17Z..15.0.0.0....8.033851",0.886496897857143,2.09685868625,2.35379840498248,0.0316662753334492,0.889969163651476,-4.38410679873319
"Nanchangmycin...20.280445",0.597901907142857,0.981922651785714,2.31168463873401,0.0344131620209735,0.889969163651476,-4.39161290807469
"C40.H82.Cl.N5.O5.S",0.769332042857143,1.26131945535714,2.29386125271385,0.0356415387352504,0.889969163651476,-4.39478786008867
"X816.2479.11.551801",0.578951442857143,0.246108719642857,2.28368285064127,0.0363612705363439,0.889969163651476,-4.39660033819749
"C10.H29.N7.O",0.577698771428571,1.28046724107143,2.28165352229059,0.0365063791541709,0.889969163651476,-4.39696164063151
"C46.H91.Cl.N2.O5.S",-0.608390607142857,-0.608390600000001,-2.28058690146353,0.0365828649900443,0.889969163651476,-4.39715153358619
